repo_ID,repo_name,criteria,included,full_repo_name,url,arch_overview,diagrams,adrs,context,deployment,quality_attrs,interface,evaluation,stakeholders,sa_doc,sa_doc_link,domain,architectural_layer,application_type,capability_1,iso_mapping_cap_1,layer_cap_1,capability_2,iso_mapping_cap_2,layer_cap_2,capability_3,iso_mapping_cap_3,layer_cap_3,layer,search_term,desc.,commits_2024,#_commits,last_commit,stars,lang,collaborators,forks,size
R003,supermq,I3,Yes,absmach/supermq,https://github.com/absmach/supermq,•,•,,,•,,•,,,YES,https://docs.magistrala.abstractmachines.fr/architecture,"Data streaming processing, Smart Environment",Infrastructure/Platform,Platform,Multi-Protocol IoT Messaging Broker,Interface Capability,Device/Edge,Identity & Access Management for IoT,Supporting Capabilities,Cross-cutting,Scalable Microservices Architecture for IoT,Supporting Capabilities,Fog/Cloud ,Continuum,edge iot,Event-driven Infrastructure for Modern Cloud,373.0,1.811,2025-01-20T08:22:15Z,2489.0,Go,70.0,672.0,147242.0
R009,zilla,I3,Yes,aklivity/zilla,https://github.com/aklivity/zilla,•,•,,•,•,,•,,,YES,https://docs.aklivity.io/zilla/latest/concepts/what-is-zilla.html#who-zilla-is-for,Data streaming processing,Infrastructure/Platform,Platform,Event-Driven API Gateway for IoT/Edge,Interface Capability,Edge/Fog,Multi-Protocol Event Streaming Integration,Interface Capability,Edge/Fog/Cloud,Low-Latency Edge Data Proxying,Data Capabilities,Cross-cutting,Continuum,edge-iot,"🦎 A multi-protocol edge & service proxy. Seamlessly interface web apps, IoT clients, & microservices to Apache Kafka® via declaratively defined, stateless APIs.",682.0,2.184,2025-01-12T23:14:21Z,563.0,Java,18.0,55.0,30050.0
R013,heartkit,I2,Yes,AmbiqAI/heartkit,https://github.com/AmbiqAI/heartkit,,•,,•,•,,,,,Partially,https://github.com/AmbiqAI/heartkit/blob/main/docs/assets/guides/heartkit-architecture.svg,"Healthcare,  medical IoT, Real Time Data Processing",Infrastructure/Platform,Full System,On-Device Biomedical Signal Inference,Supporting Capabilities,Device/Edge,Low-Power AI Optimization,Supporting Capabilities,Cross-cutting,Health Data Preprocessing & Model Lifecycle,Supporting Capabilities,Edge/Fog,device ↔ fog,tinyml,Perform AI-based heart monitoring tasks,43.0,195,2024-10-10T21:46:36Z,21.0,Jupyter Notebook,1.0,7.0,39767.0
R016,ai8x-synthesis,I2,No,analogdevicesinc/ai8x-synthesis,https://github.com/analogdevicesinc/ai8x-synthesis,•,•,,,•,,,•,,Partially,https://github.com/analogdevicesinc/ai8x-synthesis?tab=readme-ov-file#overview,"Industrial IoT, Efficient AI",Infrastructure/Platform,Platform/framework,Model Quantization & Synthesis,Supporting Capabilities,Edge,Edge Hardware Optimization,Supporting Capabilities,Device,Toolchain Integration & Automation,Supporting Capabilities,Cross-cutting,device ↔ fog,edge ai,Quantization and Synthesis (Device Specific Code Generation) for ADI's MAX78000 and MAX78002 Edge AI Devices,35.0,305,2024-12-06T14:24:53Z,59.0,Python,14.0,60.0,677035.0
R017,ai8x-training,I2,No,analogdevicesinc/ai8x-training,https://github.com/analogdevicesinc/ai8x-training,•,•,,,•,,,•,,Partially,https://github.com/analogdevicesinc/ai8x-training?tab=readme-ov-file#overview,"Computer Vision, Industrial IoT, IoT",Infrastructure/Platform,Platform/framework,Model Training & Preparation,Supporting Capabilities,Fog/Edge,Hardware-Aware Model Constraint Handling,Supporting Capabilities,Device,AutoML / Training Workflow Integration,Supporting Capabilities,Fog/Edge,device ↔ fog,edge ai,Model Training for ADI's MAX78000 and MAX78002 Edge AI Devices,45.0,243,2025-01-14T00:04:03Z,95.0,Jupyter Notebook,13.0,91.0,231469.0
R018,MaximAI_Documentation,I2,No,analogdevicesinc/MaximAI_Documentation,https://github.com/analogdevicesinc/MaximAI_Documentation,,•,,•,,,,,,Partially,https://www.analog.com/en/resources/technical-articles/face-identification-using-max78000.html,Computer Vision,Infrastructure/Platform,Platform,TinyML Deployment for Resource-Constrained MCUs,Supporting Capabilities,Device,"Model Training, Quantization & Synthesis Workflow",Supporting Capabilities,Fog/Edge,Domain-Specific Edge AI (Vision & Speech),Supporting Capabilities,Cross-cutting,device ↔ fog,edge ai,START HERE: Documentation for ADI's MAX78000 and MAX78002 Edge AI devices,5.0,111,2024-05-13T16:18:32Z,101.0,,13.0,44.0,276610.0
R022,aws-iot-fleetwise-edge,I1,Yes,aws/aws-iot-fleetwise-edge,https://github.com/aws/aws-iot-fleetwise-edge,•,•,,,•,•,•,,,YES,https://github.com/aws/aws-iot-fleetwise-edge?tab=readme-ov-file#aws-iot-fleetwise-architecture,"Autonomous Systems, Smart Environment",Infrastructure/Platform,Platform,Intelligent Data Collection & Remote Commands,Data Capabilities,Edge/Fog,Store-and-Forward with Edge Buffering,Data Capabilities,Edge,Secure MQTT Communication,Interface Capability,Cross-cutting,Edge ↔ fog,edge-iot,Reference Implementation for AWS IoT FleetWise,25.0,92,2025-01-15T14:50:35Z,63.0,C++,15.0,45.0,5039.0
R023,dem,I2,Yes,axem-solutions/dem,https://github.com/axem-solutions/dem,•,•,,,•,,•,,,YES,https://github.com/axem-solutions/dem/blob/main/docs/design.md,"IIoT, Real-time data streaming",Infrastructure/Platform,Subsystem,Declarative DevEnv Orchestration,Supporting Capabilities,Fog/Cloud,Template & Registry Integration,Supporting Capabilities,Cross-cutting,Portable Containerized Tooling,Supporting Capabilities,Cross-cutting,Edge ↔ fog,edge iot,Containerized Development Environment Manager for embedded development,69.0,495,2025-01-17T17:02:10Z,101.0,Python,9.0,15.0,7597.0
R024,azure-iot-edge-identity-translation-lite,I2,Yes,Azure-Samples/azure-iot-edge-identity-translation-lite,https://github.com/Azure-Samples/azure-iot-edge-identity-translation-lite,•,•,,,•,,•,,,YES,https://github.com/Azure/arc_jumpstart_docs,IIoT,Infrastructure/Platform,Platform,Identity Translation Gateway,Interface Capability,Fog,Protocol Translation Fabricação,Interface Capability,Device/Fog,Dynamic Device Provisioning (Cloud),Supporting Capabilities,Fog/Cloud,Continuum,edge-iot,Azure IoT Edge Identity Translation Module sample.,1.0,74,2024-04-22T07:26:46Z,22.0,C#,12.0,22.0,769.0
R025,edge-aio-in-a-box,I1,Yes,Azure-Samples/edge-aio-in-a-box,https://github.com/Azure-Samples/edge-aio-in-a-box,•,•,,,•,,•,,,Partially,https://github.com/Azure-Samples/edge-aio-in-a-box/tree/main?tab=readme-ov-file#architecture,"IIoT, Smart Environments",Infrastructure/Platform,Framework,Automated Azure Edge Provisioning,Supporting Capabilities,Fog/Cloud,Edge AI Model Lifecycle Management,Supporting Capabilities,Fog/Edge,Interactive Edge Testing & Inference,Supporting Capabilities,Edge/Fog,Continuum,edge-ai,Azure IoT Operations with Edge AI in-a-Box,150.0,150,2024-11-12T20:03:08Z,13.0,Jupyter Notebook,3.0,4.0,26771.0
R028,AI-in-a-Box,I1,No,Azure/AI-in-a-Box,https://github.com/Azure/AI-in-a-Box,•,•,,,•,,,,,YES,https://github.com/Azure/AI-in-a-Box/blob/main/media/images/edgeai-customvision-architecture.png,"IIoT, Smart Environments, Healthcare",Infrastructure/Platform,Framework,Deployment Acceleration,Supporting Capabilities,Cloud/Fog,Responsible AI / Security,Supporting Capabilities,cross-cutting,Scalability,Supporting Capabilities,Cloud/Fog,fog ↔ cloud,edge-ai,AI-in-a-Box leverages the expertise of Microsoft across the globe to develop and provide AI and ML solutions to the technical community.  Our intent is to present a curated collection of solution accelerators that can help engineers establish their AI/ML environments and solutions rapidly and with minimal friction.,224.0,366,2024-12-12T17:15:34Z,552.0,Jupyter Notebook,16.0,189.0,29055.0
R029,azure-iotedge,I2,Yes,Azure/azure-iotedge,https://github.com/Azure/azure-iotedge,•,•,,,•,,,,,Partially,https://learn.microsoft.com/pt-br/azure/iot-edge/,"Smart Environment, IIoT, Efficient AI, Autonomous Systems",Infrastructure/Platform,Platform,Edge Module Orchestration & Runtime Management,Supporting Capabilities,Edge/Fog,Local Communication & Store-and-Forward Routing,Data Capabilities,Device/Edge,Secure Identity & Runtime Integrity,Supporting Capabilities,Cross-cutting,device ↔ fog,edge-iot,The Azure IoT Edge product,57.0,219,2024-11-13T19:42:52Z,170.0,PowerShell,18.0,43.0,212.0
R031,iotedge,I2,Yes,Azure/iotedge,https://github.com/Azure/iotedge,,•,,,•,•,•,•,,YES,https://learn.microsoft.com/pt-br/azure/iot-edge/iot-edge-runtime,"IIoT, Smart Environments, Computer Vision",Infrastructure/Platform,Full System,Containerized Workload Orchestration,Supporting Capabilities,Edge,Local Secure Communication & Store-and-Forward,Data Capabilities,Device/Edge,Cloud-Integrated Device Management,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,The IoT Edge OSS project,135.0,4.241,2025-01-17T01:04:54Z,1472.0,C#,92.0,462.0,43348.0
R032,iotedge-eflow,I2,Yes,Azure/iotedge-eflow,https://github.com/Azure/iotedge-eflow,,,,,•,,,,,YES,https://learn.microsoft.com/pt-br/azure/iot-edge/iot-edge-for-linux-on-windows,"IIoT, Industry 4.0",Infrastructure/Platform,Platform,Cross-Platform Edge Runtime Hosting,Supporting Capabilities,Edge/Fog,Containerized Workload Execution & Management,Supporting Capabilities,Edge,Cloud-Integrated Device Orchestration,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,Azure IoT Edge for Linux on Windows,1.0,505,2024-11-26T21:13:54Z,51.0,PowerShell,8.0,29.0,54935.0
R033,iotedge-lorawan-starterkit,I2,Yes,Azure/iotedge-lorawan-starterkit,https://github.com/Azure/iotedge-lorawan-starterkit,•,•,,,•,,,,,YES,https://azure.github.io/iotedge-lorawan-starterkit/2.2.1/user-guide/architecture/?h=archi,"IIoT, Smart Environments",Infrastructure/Platform,Framework,Protocol Translation Gateway,Interface Capability,Device/Edge,Edge Network Server for LoRaWAN,Interface Capability,Edge,Cloud-Integrated Device & Data Management,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,Sample implementation of LoRaWAN components to connect LoRaWAN antenna gateway running IoT Edge directly with Azure IoT.,0.0,1.074,2024-05-30T13:04:45Z,185.0,C#,34.0,63.0,35444.0
R035,KAN,I2,Yes,Azure/KAN,https://github.com/Azure/KAN,•,•,,,•,•,•,,,YES,https://github.com/Azure/KAN?tab=readme-ov-file#how-it-works,"Federated Learning, Efficient AI",Infrastructure/Platform,Platform,Efficient Model Training & Inference,Supporting Capabilities,Edge/Fog/Cloud,Explainable & Interpretable AI Models,Supporting Capabilities,Cross-cutting,Cross-Domain Deployment Flexibility,Supporting Capabilities,Device/Edge,Continuum,edge ai,"KubeAI Application Nucleus for edge is a solution accelerator for creating, deploying, and operating environment-aware solutions at scale that use artificial intelligence (AI) at the edge with the control and flexibility of open-source natively on your environment. ",80.0,165,2024-05-15T08:00:06Z,77.0,TypeScript,8.0,22.0,67854.0
R037,baetyl,I1,Yes,baetyl/baetyl,https://github.com/baetyl/baetyl,•,•,,,•,,•,,,YES,https://baetyl.readthedocs.io/en/1.0.0/overview/Design.html,"IIoT, Smart Environments, Efficient AI",Infrastructure/Platform,Framework,Edge-Cloud Declarative Orchestration,Supporting Capabilities,Fog/Cloud,Modular Edge Runtime & OTA Management,Supporting Capabilities,Edge/Fog,Lightweight Messaging Middleware,Interface Capability,Device/Edge,Continuum,edge iot,"Extend cloud computing, data and service seamlessly to edge devices.",0.0,1.259,2024-05-11T06:12:43Z,1879.0,Go,26.0,323.0,106376.0
R040,Olares,I2,Yes,beclab/Olares,https://github.com/beclab/Olares,•,•,,•,•,•,,•,•,YES,https://docs.olares.xyz/manual/system-architecture.html,Orchestration,Infrastructure/Platform,Framework,Local-First AI Application Hosting,Supporting Capabilities,Device/Edge,Decentralized AI App Marketplace,Supporting Capabilities,Cross-cutting,Application Orchestration & Management at Edge,Supporting Capabilities,Edge/Fog,device ↔ fog,edge-ai,Olares: An Open-Source Sovereign Cloud OS for Local AI,769.0,816,2025-01-19T18:44:56Z,1709.0,Shell,18.0,59.0,3627.0
R047,JAMScript,I2,Yes,citelab/JAMScript,https://github.com/citelab/JAMScript,•,,,,,•,•,,,Partially,https://github.com/citelab/JAMScript/blob/master/lib/jside/docs/diagrams.pdf,Mobile IoT,Infrastructure/Platform,Platform,Unified Programming Model,Supporting Capabilities,Cross-cutting,Reactive Runtime & Hierarchical Orchestration,Supporting Capabilities,Fog/Edge,Distributed Device Collaboration,Interface Capability,Device/Edge,device ↔ fog,edge-iot,A programming language for cloud of moving things (edge-based IoT),9.0,2.593,2024-09-13T06:59:44Z,31.0,C,20.0,19.0,58313.0
R048,FogBus2,I1,No,Cloudslab/FogBus2,https://github.com/Cloudslab/FogBus2,,•,,,•,•,,,,Partially,https://github.com/Cloudslab/FogBus2?tab=readme-ov-file#sample-environment-architecture,"Orchestration, Smart Environments, Efficient AI",Infrastructure/Platform,Platform/framework,Integrated Fog-Cloud Resource Orchestration,Supporting Capabilities,Fog/Cloud,Secure Data Management & Authentication,Supporting Capabilities,Cross-cutting,QoS-aware Task Scheduling & Monitoring,Supporting Capabilities,Edge/Fog,edge ↔ Cloud,edge-iot,FogBus2: A Lightweight and Distributed Container-based Framework for Integration of IoT-enabled Systems with Edge and Cloud Computing,0.0,471,2024-09-03T09:17:50Z,25.0,Python,2.0,10.0,27933.0
R061,kura,I1,Yes,eclipse-kura/kura,https://github.com/eclipse-kura/kura,•,•,,,•,,•,•,,Partially,http://eclipse-kura.github.io/kura/docs-release-5.6/cloud-platform/kura-sparkplug/,IIoT,Infrastructure/Platform,Platform,Edge Gateway Device & Network Management,Supporting Capabilities,Device/Edge,"Data Collection, Buffering & Filtering",Data Capabilities,Edge,Cloud Connectivity & Remote Lifecycle Management,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,"Eclipse Kura™ is a versatile framework to supercharge your edge devices, streamlining the process of configuring your gateway, connecting sensors, and IoT devices to seamlessly collect, process, and send data to the cloud.",212.0,6.039,2025-01-18T09:21:42Z,513.0,Java,59.0,314.0,406204.0
R063,edgehog,I2,Yes,edgehog-device-manager/edgehog,https://github.com/edgehog-device-manager/edgehog,•,•,,,•,,•,,,YES,http://docs.edgehog.io/0.9/overview.html,Orchestration,Infrastructure/Platform,Framework,OTA Lifecycle & Fleet Control,Supporting Capabilities,Fog/Cloud,Remote Docker Application Management,Supporting Capabilities,Edge,Dynamic Fleet Grouping & Geolocation,Supporting Capabilities,Cross-cutting,Continuum,edge iot,"Easily manage your IoT device fleet with Edgehog at once. Get information on device status, deploy updates, geolocate your devices and much more!",512.0,1.639,2025-01-15T13:12:47Z,35.0,Elixir,15.0,22.0,8234.0
R082,edgen,I1,No,edgenai/edgen,https://github.com/edgenai/edgen,•,•,,,•,,•,,,Partially,https://github.com/edgenai/edgen/blob/main/docs/assets/edgen_architecture_overview.svg,Efficient AI,Infrastructure/Platform,Framework,Local Modular GenAI Serving,Supporting Capabilities,Edge/Device,Hardware-Adaptive Inference Optimization,Supporting Capabilities,Cross-cutting (Edge/Fog),Cross-Platform Native Deployment,Supporting Capabilities,Fog/Edge,device ↔ fog,edge ai,"⚡  Edgen: Local, private GenAI server alternative to OpenAI. No GPU required. Run AI models locally: LLMs (Llama2, Mistral, Mixtral...), Speech-to-text (whisper) and many others.",315.0,315,2024-05-23T14:21:38Z,344.0,Rust,7.0,16.0,2481.0
R083,shifu,I2,Yes,Edgenesis/shifu,https://github.com/Edgenesis/shifu,•,•,,,•,,,,•,YES,https://shifu.dev/docs/references/architecture/,Orchestration,Infrastructure/Platform,Framework,Device Virtualization & Digital Twin,Interface Capability,Device/Edge,Protocol Interoperability & Integration,Interface Capability,Edge/Fog,Kubernetes-Native Orchestration of IoT Devices,Supporting Capabilities,Fog/Cloud ,Continuum,edge iot,Kubernetes-native IoT gateway,149.0,641,2025-01-20T09:33:43Z,1304.0,Go,39.0,121.0,50368.0
R084,evio,I3,Yes,EdgeVPNio/evio,https://github.com/EdgeVPNio/evio,•,•,,,•,,•,,,YES,https://edgevpn.io/architecture/,IIoT,Infrastructure/Platform,Platform,Virtualized Overlay Networking,Interface Capability,Fog/Cloud,Decentralized SDN Control & Peer Discovery,Interface Capability,Fog/Edge,Secure Peer-to-Peer Tunneling,Interface Capability,Cross-cutting,edge ↔ fog,edge-iot,"Virtualized overlay networking for the fog. The Evio network spans the continuum, from the cloud to the edge, providing a virtual private layer 2 network suitable for edge devices in IoT workloads.",32.0,190,2024-08-26T19:53:45Z,44.0,Python,6.0,15.0,2080.0
R093,fabedge,I2,Yes,FabEdge/fabedge,https://github.com/FabEdge/fabedge,•,•,,,•,,•,,,YES,https://github.com/FabEdge/fabedge?tab=readme-ov-file#how-it-works,IIoT,Infrastructure/Platform,Platform,Secure Cloud-Edge & Edge-Edge Overlay Networking,Interface Capability,Fog/Cloud,Automatic Configuration & Topology-Aware Discovery,Supporting Capabilities,Edge/Fog,Kubernetes-Native Multi-Cluster Orchestration,Supporting Capabilities,Fog/Edge,edge ↔ fog,edge iot,Secure Edge Networking Solution Based On Kubernetes,7.0,835,2025-01-11T01:27:42Z,523.0,Go,17.0,57.0,5337.0
R095,fledge,I2,Yes,fledge-iot/fledge,https://github.com/fledge-iot/fledge,•,•,,,•,•,,,,YES,https://github.com/fledge-iot/fledge/blob/develop/docs/fledge_architecture.rst,IIoT,Infrastructure/Platform,Platform,Edge Data Ingestion & Preprocessing,Data Capabilities,Edge,Plugin-based Northbound/Southbound Connectivity,Interface Capability,Device/Edge/Fog,Edge Analytics & Closed-Loop Control,Data Capabilities,Edge,device ↔ fog,edge iot,"An open source platform for the Industrial Internet of Things, it acts as an edge gateway between sensor devices and cloud storage systems.",608.0,11.824,2025-01-17T12:43:43Z,127.0,Python,42.0,50.0,44971.0
R098,trusted-connector,I3,Yes,Fraunhofer-AISEC/trusted-connector,https://github.com/Fraunhofer-AISEC/trusted-connector,•,•,,,•,,•,,,YES,https://industrial-data-space.github.io/trusted-connector-documentation/docs/overview/,IIoT,Infrastructure/Platform,Platform,Secure Data Exchange Gateway,Interface Capability,Fog/Cloud/Edge,Data Sovereignty & Policy Enforcement,Supporting Capabilities,Cross-cutting,Trusted Execution & Compliance Integration,Supporting Capabilities,Fog/Cloud ,edge ↔ Cloud,edge-iot,"IoT edge platform ""Trusted Connector"" of the International Data Spaces. Based on Spring Boot, includes Camel message routing, a Camel component for IDSCP2 (including remote attestation with other connectors) and a management web UI.",32.0,2.263,2024-08-31T15:15:08Z,48.0,Kotlin,14.0,45.0,114526.0
R116,inngest,I2,Yes,inngest/inngest,https://github.com/inngest/inngest,•,•,,•,•,•,•,,,YES,https://www.inngest.com/docs/self-hosting#inngest-system-architecture,"Data streaming processing, Real Time Data Processing",Infrastructure/Platform,Full System,Event-Driven Orchestration,Supporting Capabilities,Fog/Cloud,Resilient Task Scheduling & State Management,Supporting Capabilities,Edge,Cross-Environment Portability,Supporting Capabilities,Cross-cutting,fog ↔ cloud,edge-ai,"The leading workflow orchestration platform.  Run stateful step functions and AI workflows on serverless, servers, or the edge.",1097.0,4.174,2025-01-17T23:31:55Z,2356.0,Go,24.0,91.0,325678.0
R120,AiCSD,I2,Yes,intel/AiCSD,https://github.com/intel/AiCSD,•,•,,,•,,•,,,YES,https://intel.github.io/AiCSD/index.html#ai-connect-for-scientific-data-aicsd,"Computer Vision, IIoT, Orchestration",Infrastructure/Platform,Full System,Edge Data Pipeline & Processing,Data Capabilities,Edge/Fog,Monitoring & Log Analytics,Supporting Capabilities,Cross-cutting,Secure Coordination & Communication,Supporting Capabilities,Cross-cutting,edge ↔ fog,edge-ai,"AI Connect for Scientific Data (AiCSD) is a new solution for using AI to connect data from scientific instruments to applicable AI pipelines and run workloads at the edge. This repository contains EdgeX Foundry based microservices to automatically detect, manage, and process OEM images with OpenVINO.",38.0,78,2025-01-03T19:40:54Z,17.0,Go,9.0,13.0,30826.0
R121,compage,I1,No,intelops/compage,https://github.com/intelops/compage,•,•,,,•,,•,,,Partially,https://github.com/intelops/compage/tree/main/images,Others,Infrastructure/Platform,Full System,Low-Code Cloud-to-Edge App Generation,Supporting Capabilities,Fog/Cloud,Supply Chain Security & SBOM Automation,Supporting Capabilities,Cross-cutting,Multi-Platform Orchestration & Deployment,Supporting Capabilities,Fog/Cloud,fog ↔ cloud,edge-iot,"Compage - Low-Code Framework to develop Rest API, gRPC, dRPC, GraphQL, WebAssembly, microservices, FaaS, Temporal workloads, IoT and edge services, K8s controllers, K8s CRDs, K8s custom APIs, K8s Operators, K8s hooks, etc. with minimal coding and by automatically applying best practice methods like software supply chain security measures, SBOM, openAPI, cloudevents, etc. Auto generate code after defining requirements in UI as diagram.",43.0,976,2024-08-09T19:09:32Z,83.0,Go,7.0,21.0,29436.0
R124,BirdsEye,I1,No,IQTLabs/BirdsEye,https://github.com/IQTLabs/BirdsEye,•,,,,•,,,•,,Partially,https://github.com/IQTLabs/BirdsEye/blob/main/docs/classes_BirdsEye.png,Computer Vision,System,Platform,Lightweight RL-based RF Localization,Supporting Capabilities,Edge,Compute-Efficient Training & Inference,Supporting Capabilities,Edge,Simulation-Driven Edge Modeling,Supporting Capabilities,Edge/Fog,edge ↔ fog,edge-ai,"The BirdsEye RL/RF project enables localization of mobile radio frequency targets, e.g., drones operators, via commericial off-the-shelf sensors.",292.0,1.498,2025-01-19T01:32:15Z,42.0,Jupyter Notebook,11.0,16.0,418686.0
R130,AI-on-the-edge-device,I1,Yes,jomjol/AI-on-the-edge-device,https://github.com/jomjol/AI-on-the-edge-device,•,,,,•,,•,,,Partially,https://jomjol.github.io/AI-on-the-edge-device-docs/,Smart Environment,System,Framework,Edge Processing,Data capabilities,Edge,Connectivity & Integration,Interface Capability,cross-cutting,Device Management & Updatability,Supporting Capabilities,Fog/Device,device ↔ fog,edge ai,"Easy to use device for connecting ""old"" measuring units (water, power, gas, ...) to the digital world",266.0,2.026,2025-01-17T22:16:56Z,6266.0,C++,61.0,677.0,163077.0
R131,AI-on-the-edge-device-docs,I2,No,jomjol/AI-on-the-edge-device-docs,https://github.com/jomjol/AI-on-the-edge-device-docs,•,,,,•,,•,,,Partially,https://github.com/jomjol/AI-on-the-edge-device-docs/tree/main/docs,Smart Environment,System,Framework,Edge Processing,Data capabilities,Edge,Connectivity & Integration,Interface Capability,cross-cutting,Device Management & Updatability,Supporting Capabilities,Fog/Device,device ↔ fog,edge ai,Github for hosting the documentation for the project: https://github.com/jomjol/AI-on-the-edge-device,75.0,401,2025-01-19T01:44:43Z,84.0,Python,23.0,40.0,106847.0
