repo_ID,repo_name,criteria,included,full_repo_name,url,arch_overview,diagrams,adrs,context,deployment,quality_attrs,interface,evaluation,stakeholders,sa_doc,sa_doc_link,domain,architectural_layer,application_type,capability_1,iso_mapping_cap_1,layer_cap_1,capability_2,iso_mapping_cap_2,layer_cap_2,capability_3,iso_mapping_cap_3,layer_cap_3,layer,search_term,desc.,commits_2024,#_commits,last_commit,stars,lang,collaborators,forks,size
R137,keylime,I1,Yes,keylime/keylime,https://github.com/keylime/keylime,•,•,,,•,,,,,YES,https://github.com/keylime/keylime/blob/master/docs/old/keylime-detailed-architecture-v7.pptx,"Smart Environments, Industry 4.0, Medical IoT",Infrastructure/Platform,Subsystem,Remote Attestation & Integrity Verification,Supporting Capabilities,Device/Edge,Secure Provisioning & Key Management,Supporting Capabilities,Fog/Cloud,Cross-Layer Security & Compliance,Supporting Capabilities,Cross-cutting,Continuum,edge-iot,A CNCF Project to Bootstrap & Maintain Trust on the Edge / Cloud and IoT,191.0,1.964,2025-01-17T17:31:37Z,440.0,Python,65.0,153.0,15813.0
R138,kubeedge,I1,Yes,kubeedge/kubeedge,https://github.com/kubeedge/kubeedge,•,•,,,•,•,•,,•,YES,https://release-1-19.docs.kubeedge.io/docs/category/architecture,"Autonomous Systems, Smart Environment, IIoT",Infrastructure/Platform,Subsystem,Cloud-Edge Application Orchestration,Supporting Capabilities,Fog/Cloud/Edge,Secure Edge Communication & Digital Twin,Supporting Capabilities,Cross-cutting (Edge/Fog/Cloud),IoT Device Integration & Event Routing,Interface Capability,Device/Edge,Continuum,edge iot,Kubernetes Native Edge Computing Framework (project under CNCF),634.0,5.831,2025-01-20T07:39:25Z,6903.0,Go,100.0,1740.0,143846.0
R141,edge-home-orchestration-go,I1,Yes,lf-edge/edge-home-orchestration-go,https://github.com/lf-edge/edge-home-orchestration-go,•,•,,,•,,•,,,YES,https://github.com/lf-edge/edge-home-orchestration-go/tree/master/docs,Smart Environment,Infrastructure/Platform,Framework,Dynamic Service Offloading & Load Balancing,Supporting Capabilities,Edge/Fog,Distributed Device Discovery & Scheduling,Supporting Capabilities,Device/Edge,Container-based Application Deployment,Supporting Capabilities,Edge/Device,device ↔ fog,edge iot,Home Edge Project in LF Edge - Edge Orchestration for home edge devices to enabling smart home use cases.,8.0,769,2025-01-06T09:17:12Z,94.0,Go,20.0,51.0,5354.0
R142,ekuiper,I1,Yes,lf-edge/ekuiper,https://github.com/lf-edge/ekuiper,•,•,,,•,•,•,,,YES,https://ekuiper.org/docs/en/latest/concepts/ekuiper.html,"Smart Environment, IIoT, Efficient AI",Infrastructure/Platform,Full System,Lightweight Stream Processing & Rule Engine,Data Capabilities,Edge,Highly Extensible Connectivity Framework,Interface Capability,Device/Edge,Management Dashboard & API-based Control,Supporting Capabilities,Fog/Edge,device ↔ fog,edge-iot,Lightweight data stream processing engine for IoT edge,718.0,3.241,2025-01-17T10:12:02Z,1519.0,Go,90.0,418.0,119529.0
R143,eve,I2,Yes,lf-edge/eve,https://github.com/lf-edge/eve,•,•,,,•,•,•,,,YES,https://github.com/lf-edge/eve/blob/master/docs/APP-CONNECTIVITY.md,"IIoT, Autonomous Systems",Infrastructure/Platform,Framework,Secure Edge Virtualization & Isolation,Supporting Capabilities,Edge,Remote Orchestration & Lifecycle Management,Supporting Capabilities,Fog/Cloud,Zero-Trust Security & Device Integrity,Supporting Capabilities,Cross-cutting,edge ↔ Cloud,edge iot,EVE is Edge Virtualization Engine ,906.0,11.140,2025-01-17T17:09:18Z,480.0,Go,83.0,164.0,400535.0
R148,loxilb,I2,Yes,loxilb-io/loxilb,https://github.com/loxilb-io/loxilb,•,•,,•,•,,•,,•,YES,https://docs.loxilb.io/latest/arch/,"Smart Environment, Orchestration",Infrastructure/Platform,Platform,High-Performance Edge Load Balancing,Supporting Capabilities,Fog/Cloud,Multi-Cluster & Multi-Tenant Networking,Interface Capability,Fog/Cloud,Security & Resilience (DDoS Protection),Supporting Capabilities,Cross-cutting,edge ↔ Cloud,edge-iot,eBPF based cloud-native load-balancer for Kubernetes|Edge|Telco|IoT|XaaS.,1266.0,3.377,2025-01-19T22:06:49Z,1547.0,Go,24.0,124.0,40347.0
R149,luos_engine,I1,Yes,Luos-io/luos_engine,https://github.com/Luos-io/luos_engine,•,,,,•,,,•,,Partially,https://www.luos.io/docs/luos-technology/basics/concepts,"IIoT, Industry 4.0",Infrastructure/Platform,Platform,Modular Microservice Architecture,Supporting Capabilities,Device/Edge,Dynamic Service Discovery & Communication,Interface Capability,Edge/Fog,Distributed IoT System Scalability,Supporting Capabilities,Edge/Fog,device ↔ fog,edge iot,"Open-source and real-time orchestrator for cyber-physical-systems, to easily design, test and deploy embedded applications and digital twins.",0.0,1.488,2025-01-15T13:51:34Z,519.0,C,13.0,57.0,23386.0
R150,macchina.io,I1,Yes,macchina-io/macchina.io,https://github.com/macchina-io/macchina.io,,,,,,,,,,Partially,https://docs.macchina.io/edge/00400-MQTTProgramming.html,IIoT,Infrastructure/Platform,Platform,Edge Gateway Device & Protocol Integration,Interface Capability,Device/Edge,Web-Enabled Service Exposure,Interface Capability,Edge/Fog,Remote Application Management & Extensibility,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,"macchina.io EDGE is a powerful C++ and JavaScript SDK for edge devices, multi-service IoT gateways and connected embedded systems.",37.0,1.233,2024-06-11T16:51:00Z,517.0,C++,7.0,156.0,128373.0
R153,azure_arc,I2,Yes,microsoft/azure_arc,https://github.com/microsoft/azure_arc,•,,,,•,,,,,YES,https://github.com/Azure/arc_jumpstart_docs,"Efficient AI, Orchestration",Infrastructure/Platform,Platform,Unified Hybrid Management,Supporting Capabilities,Fog/Cloud,GitOps & Policy-based Configuration at Scale,Supporting Capabilities,Fog/Cloud,Unified Security & Monitoring,Supporting Capabilities,Cross-cutting,Continuum,edge iot,"Automated Azure Arc, Edge, and Platform environments",2035.0,13.894,2025-01-16T22:50:03Z,755.0,HTML,86.0,558.0,576406.0
R154,mindspore,I1,Yes,mindspore-ai/mindspore,https://github.com/mindspore-ai/mindspore,•,•,,,•,,•,•,,YES,https://github.com/mindspore-ai/mindspore/tree/master/docs,Federated Learning,Infrastructure/Platform,Platform,End-to-End AI Lifecycle (Cloud–Edge–Device),Supporting Capabilities,continuum,Lightweight Edge Inference (MindSpore Lite),Supporting Capabilities,Device/Edge,Privacy-Preserving Federated Learning,Supporting Capabilities,Cross-cutting,Continuum,edge ai,"MindSpore is a new open source deep learning training/inference framework that could be used for mobile, edge and cloud scenarios.",7097.0,83.896,2024-07-29T01:48:05Z,4372.0,C++,93.0,718.0,869597.0
R163,montithings,I1,Yes,MontiCore/montithings,https://github.com/MontiCore/montithings,•,•,,,•,•,•,,,YES,https://www.se-rwth.de/research/MontiThings/,Model-Driven Engineering (MDE),Meta-Architecture,framework,Model-Driven IoT/Edge Application Development,Supporting Capabilities,Cross-cutting,Dynamic Deployment & Update at Edge,Supporting Capabilities,Edge/Fog,Asynchronous Cross-Device Communication,Interface Capability,Device/Edge,device ↔ fog,edge iot,An ecosystem for model-driven IoT applications,15.0,4.617,2025-01-10T20:52:30Z,14.0,Java,34.0,6.0,16788.0
R166,nabto-embedded-sdk,I2,Yes,nabto/nabto-embedded-sdk,https://github.com/nabto/nabto-embedded-sdk,•,•,,,•,,•,•,,YES,https://docs.nabto.com/developer/platforms/common/intro.html,Smart Environment,Infrastructure/Platform,Subsystem,Secure P2P Communication for IoT Devices,Interface Capability,Device/Edge,NAT/Firewall Traversal & Connectivity Optimization,Interface Capability,Cross-cutting,Lightweight Embedded Integration,Supporting Capabilities,Device,device ↔ edge,edge-iot,"Nabto Edge Embedded SDK. Secure, direct connections to your IoT devices.",195.0,2.861,2024-12-02T13:10:24Z,17.0,C,5.0,4.0,5401.0
R167,nanomq,I2,Yes,nanomq/nanomq,https://github.com/nanomq/nanomq,•,•,,,•,•,,,,YES,https://github.com/nanomq/nanomq/blob/master/docs/en_US/assets/architecture.png,"Data streaming processing, Smart Environment",Infrastructure/Platform,Subsystem,Lightweight Edge Messaging Broker,Interface Capability,Device/Edge,Protocol Translation & Interoperability Gateway,Interface Capability,Edge/Fog,High-Performance & Resource-Efficient Messaging,Interface Capability,Cross-cutting,device ↔ fog,edge-iot,An ultra-lightweight and blazing-fast Messaging broker/bus for IoT edge & SDV,539.0,3.598,2025-01-14T14:58:23Z,1711.0,C,31.0,203.0,18876.0
R182,ai-edge,I2,Yes,opendatahub-io/ai-edge,https://github.com/opendatahub-io/ai-edge,•,•,,,•,,,•,,YES,https://github.com/opendatahub-io/ai-edge/blob/main/docs/images/edge-architecture.png,"Industry 4.0, Smart Environment",Infrastructure/Platform,Framework,Edge Processing,Data Capabilities,Edge,Orchestration & Management,Supporting Capabilities,Fog/Cloud,Monitoring & Observability,Supporting Capabilities,Cross-cutting (device/Edge),edge ↔ fog,edge-ai,ODH integration with AI at the Edge usecases,280.0,490,2024-11-11T22:52:26Z,12.0,Go,13.0,19.0,16979.0
R183,microshift,I2,Yes,openshift/microshift,https://github.com/openshift/microshift,•,•,,•,•,•,,•,,YES,https://github.com/openshift/microshift/blob/main/docs/contributor/design.md,Smart Environment,Infrastructure/Platform,Framework,Lightweight Kubernetes-Native Orchestration,Supporting Capabilities,Edge,Cloud-Edge Continuum Integration,Supporting Capabilities,Fog/Cloud,Secure Lifecycle & Policy Management,Supporting Capabilities,Cross-cutting,edge ↔ Cloud,edge iot,A small form factor OpenShift/Kubernetes optimized for edge computing,1961.0,5.895,2025-01-20T09:07:17Z,708.0,Go,84.0,203.0,107666.0
R184,model_server,I2,Yes,openvinotoolkit/model_server,https://github.com/openvinotoolkit/model_server,•,•,,•,•,•,•,,,Partially,https://github.com/openvinotoolkit/model_server/tree/main/docs,Efficient AI,Infrastructure/Platform,Middleware,Scalable AI Model Serving (gRPC/REST),Supporting Capabilities,Fog/Cloud/Edge,Hardware-Accelerated Inference,Supporting Capabilities,Cross-cutting (Device/Edge/Fog),Model Lifecycle Management,Supporting Capabilities,Fog/Cloud ,Continuum,edge ai,A scalable inference server for models optimized with OpenVINO™,484.0,2.689,2025-01-19T23:16:54Z,697.0,C++,42.0,213.0,54087.0
R194,executorch,I2,Yes,pytorch/executorch,https://github.com/pytorch/executorch,•,•,,,•,•,•,•,,YES,https://github.com/pytorch/executorch/blob/main/docs/source/getting-started-architecture.md,"Computer vision, speech",Infrastructure/Platform,Platform/framework,End-to-End On-Device AI Workflow,Supporting Capabilities,Edge,High Portability across Diverse Hardware,Supporting Capabilities,Edge/Fog,Developer Productivity & Toolchain Integration,Supporting Capabilities,Cross-cutting,edge ↔ fog,edge ai,"On-device AI across mobile, embedded and edge for PyTorch",3856.0,5.271,2025-01-19T11:35:00Z,2412.0,C++,100.0,420,150581.0
R197,rhel-edge-automation-arch,I2,No,redhat-cop/rhel-edge-automation-arch,https://github.com/redhat-cop/rhel-edge-automation-arch,,•,,,•,,,,,Partially,https://github.com/redhat-cop/rhel-edge-automation-arch/tree/main?tab=readme-ov-file#architecture,IIoT,Infrastructure/Platform,Framework,Automated Edge Provisioning & Configuration,Supporting Capabilities,Edge/Fog,OTA Updates & Rollback Management,Supporting Capabilities,Edge/Fog,GitOps-Driven Orchestration & Compliance,Supporting Capabilities,Cross-cutting,edge ↔ fog,edge architecture,RHEL for Edge Automation Deployment Architecture,0.0,315,2023-12-21T19:39:53Z,45,Jinja,7.0,33,
R201,viseron,I1,Yes,roflcoopter/viseron,https://github.com/roflcoopter/viseron,,,,,•,,,,,Partially,https://github.com/roflcoopter/viseron/tree/dev/docs/docs/documentation/configuration,Computer Vision,System,Full system,On-Device Video Analytics & AI Inference,Supporting Capabilities,Device/Edge,Hardware-Accelerated Vision Processing,Supporting Capabilities,Cross-cutting,Event-Driven Smart Home/IoT Integration,Interface Capability,Edge/Fog,device ↔ fog,edgetpu,"Self-hosted, local only NVR and AI Computer Vision software.  With features such as object detection, motion detection, face recognition and more, it gives you the power to keep an eye on your home, office or any other place you want to monitor.",367.0,1.847,2025-01-19T09:53:42Z,1843.0,Python,11.0,190.0,41822.0
R203,salt,I1,Yes,saltstack/salt,https://github.com/saltstack/salt,•,•,•,•,•,•,,•,,YES,https://github.com/saltstack/salt/blob/master/doc/topics/development/architecture.rst,Orchestration,Infrastructure/Platform,Platform,Scalable Remote Configuration & Automation,Supporting Capabilities,Fog/Cloud,Real-Time Orchestration & Parallel Execution,Supporting Capabilities,Fog/Edge,"Security, Compliance & Lifecycle Management",Supporting Capabilities,Cross-cutting,edge ↔ Cloud,edge iot,Software to automate the management and configuration of any infrastructure or application at scale. Install Salt from the Salt package repositories here:,1280.0,121.363,2025-01-20T09:37:47Z,14287.0,Python,100.0,5496.0,547395.0
R204,fedn,I1,Yes,scaleoutsystems/fedn,https://github.com/scaleoutsystems/fedn,•,•,,,•,•,•,•,,YES,https://docs.scaleoutsystems.com/en/stable/architecture.html,Federated learning,Infrastructure/Platform,Framework,Federated Model Training & Aggregation,Supporting Capabilities,Edge/Fog/Cloud,Scalable Orchestration of Heterogeneous Nodes,Supporting Capabilities,Fog/Cloud,Privacy-Preserving Collaboration,Supporting Capabilities,Cross-cutting,edge ↔ Cloud,edge-ai,"FEDn: An enterprise-ready open source federated learning framework. This repository contains the Python framework, CLI and API.",245.0,1.931,2025-01-16T09:16:35Z,146.0,Python,25.0,36.0,371729.0
R207,piccolo,I1,Yes,sensiml/piccolo,https://github.com/sensiml/piccolo,•,,,,•,•,•,•,,Partially,https://github.com/sensiml/piccolo/blob/main/docs/source/mqtt-specification/introduction.rst,"Efficient AI, AIoT, Real Time Data Processing",Infrastructure/Platform,Platform,Ultra-Lightweight TinyML Inference Runtime,Supporting Capabilities,Device,Sensor Data Pattern Recognition,Supporting Capabilities,Device/Edge,Low-Power Embedded AI Optimization,Supporting Capabilities,Cross-cutting,device ↔ edge,edge ai,SensiML's open-source AutoML solution for Edge AI model development,54.0,77,2025-01-17T01:48:25Z,53.0,Python,5.0,7.0,96464.0
R210,simpleiot,I1,Yes,simpleiot/simpleiot,https://github.com/simpleiot/simpleiot,•,•,•,,•,•,•,,,YES,https://github.com/simpleiot/simpleiot/tree/master/docs/ref,Smart Environment,Infrastructure/Platform,Full system,Lightweight Edge IoT Platform,Supporting Capabilities,Device/Edge,Graph-Based Device & Data Modeling,Data Capabilities,Edge/Fog,Remote Device Management & Configuration,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,Simple IoT cloud/edge application/framework,263.0,3.433,2025-01-03T22:10:16Z,178.0,Go,9.0,29.0,16600.0
R217,fogflow,I1,Yes,smartfog/fogflow,https://github.com/smartfog/fogflow,•,•,,•,•,•,•,,,YES,https://github.com/smartfog/fogflow/blob/development/docs/en/source/introduction.rst,"Industry 4.0, Smart Environment, Autonomous Systems",Infrastructure/Platform,Framework,Dynamic Service Orchestration,Supporting Capabilities,Fog/Edge ,Context-aware Service Discovery & Chaining,Interface Capability,Edge/Fog,Distributed Task Scheduling & Optimization,Supporting Capabilities,Fog/Cloud ,edge ↔ Cloud,edge-iot,FogFlow is a standard-based IoT fog computing framework that supports serverless computing and edge computing with advanced programming models,22.0,2.471,2024-11-04T09:48:23Z,126.0,Go,23.0,45.0,187714.0
R225,thin-edge.io,I2,Yes,thin-edge/thin-edge.io,https://github.com/thin-edge/thin-edge.io,•,•,•,,•,,,,•,YES,https://thin-edge.github.io/thin-edge.io/understand/faq/,IIoT,Infrastructure/Platform,Framework,Lightweight IoT Edge Gateway,Interface Capability,Device/Edge,Multi-Protocol IoT Interoperability,Interface Capability,Edge/Fog,Remote Device Management & OTA Updates,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,The open edge framework for lightweight IoT devices,1771.0,5.432,2025-01-17T22:04:34Z,228.0,Rust,30.0,56.0,122193.0
R235,saf,I1,Yes,TRUMPF-IoT/saf,https://github.com/TRUMPF-IoT/saf,•,•,,,,,•,,,YES,https://github.com/TRUMPF-IoT/saf/tree/master/docs,IIoT,Infrastructure/Platform,Framework,Semantic IoT Process Automation,Supporting capability,Cross-cutting,Dynamic Orchestration & Service Composition,Supporting Capabilities,Edge/Fog,Protocol Interoperability for Industrial IoT,Interface Capability,Device/Edge,device ↔ fog,edge iot,Smart Application Framework (SAF) is a .NET based framework for building distributed applications across cloud and edge.,21.0,375,2025-01-07T16:33:21Z,12.0,C#,5.0,1.0,1122.0
R238,edge-infer,I2,No,unit-mesh/edge-infer,https://github.com/unit-mesh/edge-infer,•,•,,,•,,•,,,Partially,https://github.com/unit-mesh/edge-infer/blob/master/docs/edge-mind.svg,Smart manufacturing,Infrastructure/Platform,Platform,Lightweight Edge Model Inference,Data Capabilities,Device/Edge,Cross-Platform Runtime Support,Supporting Capabilities,Edge/Fog,Configurable Inference Pipeline,Supporting Capabilities,Edge/Fog,device ↔ fog,edge ai,"EdgeInfer enables efficient edge intelligence by running small AI models, including embeddings and OnnxModels, on resource-constrained devices like Android, iOS, or MCUs for real-time decision-making. EdgeInfer 旨在资源受限的设备上运行小型 AI 模型（包括向量化和 Onnx 模型），如 Android、iOS 或 MCUs，实现高效的边缘智能，用于实时决策。",11.0,121,2024-04-17T09:23:00Z,39.0,Rust,3.0,2.0,280.0
R241,WasmEdge,I1,Yes,WasmEdge/WasmEdge,https://github.com/WasmEdge/WasmEdge,•,•,,,,,•,,,Partially,https://github.com/WasmEdge/WasmEdge/blob/master/docs/architecture.png,Efficient AI,Infrastructure/Platform,Platform,Lightweight & Secure Application Runtime,Supporting Capabilities,Device/Edge,AI/ML Inference in WASM Modules,Supporting Capabilities,Edge/Fog,Cloud-Native & Edge Integration,Supporting Capabilities,Fog/Cloud ,Continuum,edge-iot,"WasmEdge is a lightweight, high-performance, and extensible WebAssembly runtime for cloud native, edge, and decentralized applications. It powers serverless apps, embedded functions, microservices, smart contracts, and IoT devices.",777.0,3.819,2025-01-19T23:06:04Z,8754.0,C++,100.0,787.0,24641.0
R242,self,I2,Yes,watson-intu/self,https://github.com/watson-intu/self,,,,,•,,•,,,YES,https://github.com/watson-intu/self-docs/blob/94f376527082cfd25c225b2f99a5304d6955576f/faqs/architecture/architecture.md,Robotic,Infrastructure/Platform,Middleware,Multimodal Perception & Cognitive Integration,Supporting Capabilities,Device/Edge,Distributed Agent-Oriented Orchestration,Supporting Capabilities,Edge/Fog,Extensible Hybrid Edge–Cloud AI Integration,Supporting Capabilities,Cross-cutting,device ↔ fog,edge-ai,Intu is a Cognitive Embodiment Middleware for AI on the edge.,2.0,66,2024-11-29T18:47:35Z,29.0,C++,8.0,27.0,160108.0
R247,Vitis-AI,I2,Yes,Xilinx/Vitis-AI,https://github.com/Xilinx/Vitis-AI,,•,,,•,•,•,•,,YES,https://xilinx.github.io/Vitis-AI/3.5/html/docs/workflow.html?highlight=architecture,Efficient AI,Infrastructure/Platform,Platform,Model Compilation & FPGA Acceleration,Supporting Capabilities,Device/Edge,End-to-End AI Deployment Stack,Supporting Capabilities,Fog/Cloud/Edge,Hardware-Optimized Edge AI Runtime,Supporting Capabilities,Cross-cutting,Continuum,edge ai,"Vitis AI is Xilinx’s development stack for AI inference on Xilinx hardware platforms, including both edge devices and Alveo cards.",3.0,1.253,2024-09-12T07:20:12Z,1526.0,Python,34.0,640.0,2361712.0
R251,yomo,I1,No,yomorun/yomo,https://github.com/yomorun/yomo,,,,,•,•,•,,,Partially,https://github.com/yomorun/yomo/blob/master/docs/public/yomo-flow-arch.jpg,"Real Time Data Processing, Data streaming processing",Infrastructure/Platform,Framework,Low-Latency Edge Stream Processing,Data Capabilities,Edge,WASM-Based Modular Execution,Supporting Capabilities,Cross-cutting,AI-Enabled Real-Time Decision Making,Supporting Capabilities,Edge/Fog,edge ↔ fog,edge ai,"🦖 Stateful Serverless Framework for Geo-distributed Edge AI Infra. with function calling support, write once, run on any model.",141.0,602,2025-01-19T03:38:40Z,1694.0,Go,18.0,129.0,68921.0
R254,kantv,I1,No,zhouwg/kantv,https://github.com/zhouwg/kantv,•,•,,,•,•,•,,,Partially,https://github.com/zhouwg/kantv/tree/master?tab=readme-ov-file#software-architecture-of-kantv-android,Smart Environment,System,Full System,Cross-Platform Media Processing,Supporting Capabilities,Device/Edge,Hardware-Accelerated Video Decoding,Supporting Capabilities,Cross-cutting,Multi-Protocol Streaming & Playback,Interface Capability,Device/Edge,edge ↔ fog,edge-ai,"workbench for learing&practising AI tech in real scenario on Android device, powered by GGML(Georgi Gerganov Machine Learning) and NCNN(Tencent NCNN) and FFmpeg",287.0,2.986,2024-06-17T13:39:23Z,136.0,C++,41.0,20.0,1102570.0
R257,ztachip,I2,Yes,ztachip/ztachip,https://github.com/ztachip/ztachip,•,•,,•,•,,,,,Partially,https://github.com/ztachip/ztachip/blob/master/Documentation/SoftwareDesign.md,Computer Vision,Infrastructure/Platform,Platform,Custom Edge AI Hardware Acceleration,Supporting Capabilities,Device/Edge,SDK & Runtime for Edge AI Applications,Supporting Capabilities,Edge,Real-Time Vision & ML Inference,Supporting Capabilities,Device/Edge,device ↔ edge,edge ai,Opensource software/hardware platform to build edge AI solutions deployed on FPGA or custom ASIC hardware.,63.0,413,2024-08-21T03:06:22Z,239.0,C++,2.0,34.0,173338.0
R258,auritus,I2,Yes,nesl/auritus,https://github.com/nesl/auritus,•,•,,,•,,•,•,,YES,https://github.com/nesl/auritus/blob/main/README.md#framework-architecture,"Audio Analisys, Healthcare",Infrastructure/Platform,SDK,Model Optimization for Earable Edge,Supporting Capabilities,Edge,Hardware-Aware Model Compactness,Supporting Capabilities,Device/Edge,Extendability & Custom Pipeline,Data Capabilities,Cross-cutting,device ↔ edge,tinyml,Auritus: An Open-Source Optimization Toolkit for Training and Development of Human Movement Models and Filters Using Earables,2,61,2024-09-17T06:56:53Z,20,C++,0.0,0,145361
R259,open-horizon,I2,Yes,motion-ai/open-horizon,https://github.com/motion-ai/open-horizon,,•,,,•,•,,,,Partially,https://github.com/motion-ai/open-horizon/blob/master/docs/PATTERN.md,"Orchestration, Computer Vision",Infrastructure/Platform,Subsystem,Autonomous Policy-Based Workload Orchestration,Supporting Capabilities,Fog/Cloud/Edge,Resilient Offline Edge Operation,Supporting Capabilities,Edge,Secure Lifecycle Management for Edge Services,Supporting Capabilities,Cross-cutting,edge ↔ Cloud,edge,Open source edge services,0,363,,2,shell,0,0,
R261,smart-social-distancing,I1,Yes,galliot-us/smart-social-distancing,https://github.com/galliot-us/smart-social-distancing,•,•,,•,•,,,•,,YES,https://galliot.us/blog/smart-social-distancing-new-codebase-architecture/,Computer Vision,System,Full System/Subsystem,Edge-Based Real-Time Social Distancing Analytics,Supporting Capabilities,Edge,Multi-Hardware AI Acceleration,Supporting Capabilities,Edge,Event-Driven Notification & Data Integration,Supporting Capabilities,Cross-cutting,Continuum,edge-ai,"Social Distancing Detector using deep learning and capable to run on edge AI devices such as NVIDIA Jetson, Google Coral, and more.",0,633,,140,Python,20,39,