question,alias
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G1 - Adopt standardized, interoperable communication protocols, and explicitly document topic structures, access permissions, and security configurations.]",[G01]
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G2 - Adopt an abstract event bus that allows switching the underlying broker or communication protocol without modifying your application code.]",[G02]
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G3 - Implement automated health checks and load balancing mechanisms to ensure traffic is routed only to healthy service instances.]",[G03]
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G4 - Enable dynamic transport negotiation between edge and cloud components to ensure optimal communication under varying network conditions.]",[G04]
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G5 - Use middleware that enables interoperability across heterogeneous systems to maintain seamless communication along the cloud–edge continuum.]",[G05]
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G6 - Use middleware that supports interoperability between heterogeneus environments to ensure continuos communication in the cloud-edge continuum.]",[G06]
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G7 - Adopt a secure onboarding workflow that leverages a membership service to automatically connect new devices to edge nodes and register them with the cloud hub before initiating any data transmission.]",[G07]
"3. Considering your EdgeAI-based systems project, to what extent do you think the following guidelines would have enhanced architectural support? [G8 - Design and implement logical abstractions to organize and manage overlay networks across edge nodes.]",[G08]
" [G9 - Design Edge systems using a microservices-based architecture, breaking down system functionalities into loosely coupled, independent components.]",[G09]
 [G10 - Expose orchestration and communication layers between modular components to support integration workflows and automation.],[G10]
" [G11 - Adopt a pub/sub messaging layer to decouple service interactions and enable scalable, event-driven communication across distributed components.]",[G11]
 [G12 - Centralize the control and observability of Edge nodes using orchestration or management platforms exposing declarative interfaces to define and monitor system state.],[G12]
" [G13 - Design event-driven processing pipelines with continuous synchronization between edge and cloud environments, supporting configurable data sources, processing logic, and output channels.]",[G13]
 [G14 - Use isolated modules and configurable containers as self-contained execution units for deploying business logic at the edge.],[G14]
 [G15 - Adopt event-driven mechanisms that listen to and act upon critical events to support secure and autonomous edge architectures.],[G15]
 [G16 - Implement certificate-based authentication to secure communication between system modules through verified identities.],[G16]
 [G17 - Use decentralized authentication methods backed by secure hardware to verify edge device identities without relying on centralized authorities.],[G17]
 [G18 - Implement nonce-based tokens with timestamp verification to ensure message freshness and reduce replay or flooding attack surfaces.],[G18]
 [G19 - Isolate edge workloads in secure execution environments governed by strict access policies and limited execution rights.],[G19]
 [G20 - Establish encrypted point-to-point tunnels and implement active failure detection to ensure secure and resilient communication.],[G20]
" [G21 - Ensure secure and trusted communication between nodes through mutual authentication, encrypted channels, and dynamic trust revocation triggered by attestation or policy violations.]",[G21]
 [G22 - Establish data usage policies and adopt secure middleware that enforces contextual access control and provides end-to-end protection for streaming data.],[G22]
 [G23 - Implement automatic device registration and discovery mechanisms integrated with centralized management platforms.],[G23]
 [G24 - Implement centralized solutions to automate the orchestration and configuration of numerous edge devices across distributed environments.],[G24]
 [G25 - Implement connection lifecycle tracking through standardized birth/death messages to monitor Edge device availability.],[G25]
" [G26 - Adopt digital twin architectures to model and manage the identity, status, and behavior of Edge devices in real time, enabling intelligent capabilities and seamless cloud integration.]",[G26]
" [G27 - Use declarative configurations (e.g., ConfigMaps) and edge-side agents to orchestrate network plugins, load balancing rules, and secure tunnels.]",[G27]
 [G28 - Implement real-time observability mechanisms with model-driven automatic reconfiguration of system architectures.],[G28]
 [G29 - Use well-defined environment variables in containers to ensure compatibility with Edge orchestration systems.],[G29]
" [G30 - Use dedicated container registries to store and distribute tool images, ensuring consistency and reproducibility across development environments.]",[G30]
" [G32 - Use open-standard observability tools to collect, structure, and expose system metrics and logs for monitoring and automation.]",[G32]
" [G33 - Implement observability strategies that encompass tracing, logging, and recording of lifecycle events across architecture components and Edge devices.]",[G33]
" [G34 - Implement fault-tolerant persistence strategies for critical data, including support for automated recovery and state restoration.]",[G34]
" [G35 - Adopt storage solutions that align with architectural constraints: use SQLite for minimal footprint, PostgreSQL for advanced query support, and MinIO/S3 for distributed object storage.]",[G35]
 [G36 - Adopt regular serialization of component runtime state to enable recovery in the event of crashes or unsuccessful deployments.],[G36]
" [G37 - Implement data access control policies that ensure application-specific isolation and user authentication, using database features like role-based access in PostgreSQL.]",[G37]
 [G38 - Use hardware-agnostic specifications and flexible connectivity to design lightweight components that manage device interfaces and execute sensor operations in embedded systems.],[G38]
" [G39 - Adopt distributed execution architectures that operate across the cloud–edge continuum, dynamically adapting task placement based on proximity and resource availability.]",[G39]
 [G40 - Consider the heterogeneity of physical hardware during architectural design to ensure compatibility with diverse deployment environments.],[G40]
" [G42 - Employ distributed and federated execution architectures with state management and decentralized training, using intermediate components such as combiners or aggregators.]",[G42]
 [G44 - Use lightweight and modular runtimes in EdgeAI to isolate AI components and optimize both performance and resource consumption.],[G44]
 [G45 - Implement real-time monitoring and adaptive workload distribution to optimize resource use and avoid system bottlenecks.],[G45]
 [G46 - Adopt frameworks optimized for high-performance workloads and support task-specific model fine-tuning in resource-constrained environments.],[G46]
 [G47 - Implement task offloading and distributed scaling mechanisms to maintain performance when local resource thresholds are exceeded.],[G47]
" [G49 - Enable the use of DSLs and the integration of custom tasks (e.g., HKTask, MontiThings) to support specialized development needs.]",[G49]
 [G50 - Adopt modular and extensible software platforms that support functional reuse and extension without requiring full system recompilation.],[G50]
 [G51 - Integrate a local rules engine to allow administrators to define and enforce custom execution policies at the Edge.],[G51]
" [G52 - Apply DevOps practices to lightweight Edge clusters using ML lifecycle extensions to automate model training, deployment, and monitoring.]",[G52]
