name,full_name,URL,desc.,total_commits,last_commit,commits_2024,stars,fork,forks,lang,size,score,template,archived,disabled,contributors_url,collaborators_url,collaborators,search_term
tiny,mlcommons/tiny,https://github.com/mlcommons/tiny,MLPerf™  Tiny is an ML benchmark suite for extremely low-power systems such as microcontrollers,244,2024-12-24T13:12:06Z,37,368,False,93,C,83619,1.0,False,False,False,https://api.github.com/repos/mlcommons/tiny/contributors,https://api.github.com/repos/mlcommons/tiny/collaborators{/collaborator},17,tiny-ml
artificial-nose,kartben/artificial-nose,https://github.com/kartben/artificial-nose,"Instructions, source code, and misc. resources needed for building a Tiny ML-powered artificial nose.",101,2024-07-05T11:58:00Z,0,353,False,71,C,20204,1.0,False,False,False,https://api.github.com/repos/kartben/artificial-nose/contributors,https://api.github.com/repos/kartben/artificial-nose/collaborators{/collaborator},3,tiny-ml
EloquentTinyML,eloquentarduino/EloquentTinyML,https://github.com/eloquentarduino/EloquentTinyML,Eloquent interface to Tensorflow Lite for Microcontrollers,24,2024-07-18T15:47:32Z,3,306,False,57,C++,1891,1.0,False,False,False,https://api.github.com/repos/eloquentarduino/EloquentTinyML/contributors,https://api.github.com/repos/eloquentarduino/EloquentTinyML/collaborators{/collaborator},2,tiny-ml
TinyML-ESP32,HollowMan6/TinyML-ESP32,https://github.com/HollowMan6/TinyML-ESP32,This is the TinyML programs for ESP32 according to BlackWalnut Labs Tutorials. (黑胡桃实验室的TinyML教程中的程序集合) ,12,2025-01-19T13:37:19Z,0,154,False,39,C,974,1.0,False,False,False,https://api.github.com/repos/HollowMan6/TinyML-ESP32/contributors,https://api.github.com/repos/HollowMan6/TinyML-ESP32/collaborators{/collaborator},1,tiny-ml
UNIFEI-IESTI01-TinyML-2022.1,Mjrovai/UNIFEI-IESTI01-TinyML-2022.1,https://github.com/Mjrovai/UNIFEI-IESTI01-TinyML-2022.1,Course Repository - TinyML - Machine Learning for Embedding Devices,202,2024-07-15T12:32:16Z,1,70,False,18,Jupyter Notebook,223966,1.0,False,False,False,https://api.github.com/repos/Mjrovai/UNIFEI-IESTI01-TinyML-2022.1/contributors,https://api.github.com/repos/Mjrovai/UNIFEI-IESTI01-TinyML-2022.1/collaborators{/collaborator},1,tiny-ml
Awesome-EdgeAI,wangxb96/Awesome-EdgeAI,https://github.com/wangxb96/Awesome-EdgeAI,"Resources of our survey paper ""Optimizing Edge AI: A Comprehensive Survey on Data, Model, and System Strategies""",125,2025-01-08T10:12:56Z,7,63,False,7,,3813,1.0,False,False,False,https://api.github.com/repos/wangxb96/Awesome-EdgeAI/contributors,https://api.github.com/repos/wangxb96/Awesome-EdgeAI/collaborators{/collaborator},1,tiny-ml
UNIFEI-IESTI01-TinyML-2023.1,Mjrovai/UNIFEI-IESTI01-TinyML-2023.1,https://github.com/Mjrovai/UNIFEI-IESTI01-TinyML-2023.1,TinyML - Machine Learning for Embedding Devices,49,2024-07-15T12:33:15Z,26,48,False,11,Jupyter Notebook,272945,1.0,False,False,False,https://api.github.com/repos/Mjrovai/UNIFEI-IESTI01-TinyML-2023.1/contributors,https://api.github.com/repos/Mjrovai/UNIFEI-IESTI01-TinyML-2023.1/collaborators{/collaborator},1,tiny-ml
TinyML4D,Mjrovai/TinyML4D,https://github.com/Mjrovai/TinyML4D,Community of researchers and practitioners focused on both improving access to TinyML education and enabling innovative solutions for the unique challenges faced by Developing Countries.,230,2024-12-23T19:55:04Z,82,24,False,10,Jupyter Notebook,457637,1.0,False,False,False,https://api.github.com/repos/Mjrovai/TinyML4D/contributors,https://api.github.com/repos/Mjrovai/TinyML4D/collaborators{/collaborator},1,tiny-ml
MIT6.5940_TinyML,PKUFlyingPig/MIT6.5940_TinyML,https://github.com/PKUFlyingPig/MIT6.5940_TinyML,Course materials for MIT6.5940: TinyML and Efficient Deep Learning Computing,2,2025-01-08T23:14:19Z,0,24,False,1,Jupyter Notebook,18503,1.0,False,False,False,https://api.github.com/repos/PKUFlyingPig/MIT6.5940_TinyML/contributors,https://api.github.com/repos/PKUFlyingPig/MIT6.5940_TinyML/collaborators{/collaborator},1,tiny-ml
TinyML,thommaskevin/TinyML,https://github.com/thommaskevin/TinyML,,135,2024-11-14T18:08:26Z,123,23,False,9,Jupyter Notebook,70672,1.0,False,False,False,https://api.github.com/repos/thommaskevin/TinyML/contributors,https://api.github.com/repos/thommaskevin/TinyML/collaborators{/collaborator},1,tiny-ml
Edge_AI_TinyML_Course_2024,OmniXRI/Edge_AI_TinyML_Course_2024,https://github.com/OmniXRI/Edge_AI_TinyML_Course_2024,OmniXRI's Edge AI & TinyML小學堂-課程資料,75,2024-06-19T01:56:03Z,75,23,False,12,Jupyter Notebook,73832,1.0,False,False,False,https://api.github.com/repos/OmniXRI/Edge_AI_TinyML_Course_2024/contributors,https://api.github.com/repos/OmniXRI/Edge_AI_TinyML_Course_2024/collaborators{/collaborator},1,tiny-ml
benchmarking-ml-on-the-edge,aallan/benchmarking-ml-on-the-edge,https://github.com/aallan/benchmarking-ml-on-the-edge,Benchmarking machine learning inferencing on embedded hardware.,42,2024-06-07T10:41:50Z,42,22,False,1,Python,276136,1.0,False,False,False,https://api.github.com/repos/aallan/benchmarking-ml-on-the-edge/contributors,https://api.github.com/repos/aallan/benchmarking-ml-on-the-edge/collaborators{/collaborator},1,tiny-ml
UNIFEI-IESTI01-TinyML-2021.2,Mjrovai/UNIFEI-IESTI01-TinyML-2021.2,https://github.com/Mjrovai/UNIFEI-IESTI01-TinyML-2021.2,,174,2024-07-15T12:34:07Z,1,15,False,14,Jupyter Notebook,324021,1.0,False,False,False,https://api.github.com/repos/Mjrovai/UNIFEI-IESTI01-TinyML-2021.2/contributors,https://api.github.com/repos/Mjrovai/UNIFEI-IESTI01-TinyML-2021.2/collaborators{/collaborator},1,tiny-ml
coastML,lojikil/coastML,https://github.com/lojikil/coastML,a tiny experimental ML dialect combining Yeti & CarML,290,2025-01-16T15:47:01Z,8,12,False,0,Python,267,1.0,False,False,False,https://api.github.com/repos/lojikil/coastML/contributors,https://api.github.com/repos/lojikil/coastML/collaborators{/collaborator},1,tiny-ml
ESE360_TinyML,mlab-upenn/ESE360_TinyML,https://github.com/mlab-upenn/ESE360_TinyML,Repository for the TinyML course,27,2024-10-09T20:53:33Z,1,11,False,6,C++,19050,1.0,False,False,False,https://api.github.com/repos/mlab-upenn/ESE360_TinyML/contributors,https://api.github.com/repos/mlab-upenn/ESE360_TinyML/collaborators{/collaborator},3,tiny-ml
