code_ID,code,#_of_occurrences,high-order_themes,theme_ID,theme
C001,Access Control,22,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C002,ACL Configuration,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C003,Adverse Network Conditions,2,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C004,Agent Management,1,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C005,AI Security Mechanism,3,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C006,AI Skill Definitions,1,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C007,AI/ML Inference,3,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C008,Allowlist,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C010,AOT Configuration,2,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C011,API Integration,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C012,API Readiness,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C013,Application Architecture,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C014,Application Creation,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C015,Application Deployment,1,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C016,Application Registration,2,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C017,Application Services,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C018,Astarte Integration,2,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C019,Astarte Triggers,1,Composable Architectures and Flow Orchestration,T11,Stream Processing & Event‑Driven Architectures (Edge)
C020,Asynchronous Communication,5,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C021,Authentication Methods,21,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C022,Auto Discovery,1,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C023,Automated Patching,1,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C024,Automated Service Orchestration,2,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C025,Automatic Troubleshooting Strategy,1,Observability and Persistent Data Management,T08,"Observability, Monitoring & Diagnostics"
C026,Automation,2,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C027,Available Resources,3,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C028,Background Process Invocation,1,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C029,Backup and Restore Functionality,4,Observability and Persistent Data Management,T12,"Data Storage, Persistence & Caching"
C030,Base Service Configuration,2,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C031,Bi-Directional Communication,9,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C032,Binary Size Savings,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C033,Branch Environments,1,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C034,Broker Configuration,2,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C035,Browser-Based Applications,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C036,Business Demands,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C037,Abstraction Layer,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C038,Camera Setup,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C039,Centralized Management,3,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C040,Certificate Configuration,5,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C041,Certificate Storage,3,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C042,Certificate Validation,2,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C043,Channel Management,2,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C044,Clear and Encrypted Message Handling,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C045,Client Application Development,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C046,Client Connection Issues,4,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C047,Cloud Connection,2,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C048,Cloud Integration,38,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C049,Cloud to Edge Communication,17,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C050,Code Reusability,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C051,Code Review,1,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C052,Collaborators Interaction,1,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C053,Command Execution,3,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C054,Command Line Interface,4,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C055,Communication Protocol,44,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C056,compatibility issues,12,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C057,Complexity Reduction,4,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C058,Compliance Requirements,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C059,Component Configuration,2,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C060,Component Management,2,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C061,Component Transfer,1,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C062,Condition Logic,1,Composable Architectures and Flow Orchestration,T11,Stream Processing & Event‑Driven Architectures (Edge)
C063,Configuration Management,12,Infrastructure and Device Management,T07,Infrastructure Automation & Configuration Management
C064,Connection Quality,11,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C065,Connectivity Management,3,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C066,Consistent Tool Usage,1,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C067,Container Engines,3,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C068,Container Image Building,1,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C069,Container Isolation,1,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C070,Container Management,3,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C071,Containerized Deployments,2,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C072,Continuous Streaming Data Source,3,Composable Architectures and Flow Orchestration,T11,Stream Processing & Event‑Driven Architectures (Edge)
C073,Controller Selection,2,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C074,Controller-Worker Model,3,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C075,Core Container,2,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C076,Core Services,36,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C077,Cost Reduction,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C078,CPU Utilization,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C079,Cross-Platform Runtime,8,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C080,Crypto-based ID,2,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C081,Custom Linux Security Module,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C082,Custom Solutions,6,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C083,Custom Tasks,4,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C084,Customer Preferences,3,Integration of Sensors and Applications,T11,Stream Processing & Event‑Driven Architectures (Edge)
C085,Dashboard Functionality,5,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C086,Data Collection,9,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C087,Data Integration,8,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C088,Data Integrity,7,Observability and Persistent Data Management,T12,"Data Storage, Persistence & Caching"
C089,Data Persistence,1,Observability and Persistent Data Management,T12,"Data Storage, Persistence & Caching"
C090,Data Plane,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C091,Data Preprocessing,3,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C092,Data Storage Management,13,Observability and Persistent Data Management,T12,"Data Storage, Persistence & Caching"
C093,Data Transformation and Alerting Services,11,Composable Architectures and Flow Orchestration,T11,Stream Processing & Event‑Driven Architectures (Edge)
C094,Data Transmission,36,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C095,Data Usage Control,4,"Security, Authentication, and Usage Policies",T18,"Trusted Connectors, Data Sovereignty & Usage Policies"
C096,Data-Centric Edge Programming Model,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C097,Database Configuration,3,Observability and Persistent Data Management,T12,"Data Storage, Persistence & Caching"
C098,Debugging Techniques,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C099,Dependency on Network Operator,1,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C100,Deployment Environment,13,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C101,Detailed Control,2,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C102,Developer Support,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C103,Device Access Control,12,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C104,Device Authenticity,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C105,Device Binding,10,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C106,Device Communication,9,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C107,Device Creation,2,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C108,Device Discovery,1,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C109,Device Management,7,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C110,Device Online Status,1,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C111,Digital Twin,7,Infrastructure and Device Management,T06,Digital Twins & Device State Management
C112,Disclosure Timeline,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C113,Disconnect Procedure,1,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C114,Distributed AI Processing,12,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C115,Distributed Application,2,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C116,Distributed Execution Framework,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C117,Distributed Job Scheduler,4,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C118,Distributed Storage Solution,2,Observability and Persistent Data Management,T12,"Data Storage, Persistence & Caching"
C119,DMZ Configuration,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C120,DNS Interception,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C121,Docker Container Mode,10,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C122,Docker Engine Communication,1,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C123,Domain Interconnection,1,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C124,DoS Attack Prevention,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C125,Driver Service,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C126,Dynamic Application Management,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C127,Dynamic Component Integration,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C128,Dynamic Library Usage,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C129,Dynamic Network Management,1,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C130,Easy Development Features,15,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C131,Easy Sharing,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C132,Edge Data Processing Applications,26,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C133,Edge Device Connection,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C134,Edge Device Management,7,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C135,Edge Discovery,4,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C136,Edge Environments,1,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C137,Edge Node Integration,26,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C138,Edge Runtime,4,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C139,Effective Provisioning,2,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C140,Efficiency,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C141,Efficient Execution,16,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C142,Embedded Systems,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C143,Encryption Techniques,4,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C144,Endpoint Health Management,3,Observability and Persistent Data Management,T08,"Observability, Monitoring & Diagnostics"
C146,Environment Variables,1,Infrastructure and Device Management,T07,Infrastructure Automation & Configuration Management
C147,Error Handling,7,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C148,Essential Information,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C149,Event API,1,Composable Architectures and Flow Orchestration,T11,Stream Processing & Event‑Driven Architectures (Edge)
C150,Event Detection and Notification,7,Composable Architectures and Flow Orchestration,T11,Stream Processing & Event‑Driven Architectures (Edge)
C151,Event Logging,2,Observability and Persistent Data Management,T08,"Observability, Monitoring & Diagnostics"
C152,Event Stream,1,Composable Architectures and Flow Orchestration,T11,Stream Processing & Event‑Driven Architectures (Edge)
C153,Eventbus Interface,1,Composable Architectures and Flow Orchestration,T11,Stream Processing & Event‑Driven Architectures (Edge)
C154,Executable Detection,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C155,Expectation Management,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C156,Extensibility,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C157,Extensible Applications,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C158,Extensible Design,3,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C159,External System Integration,5,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C160,Failure Detection,3,Observability and Persistent Data Management,T08,"Observability, Monitoring & Diagnostics"
C161,Failure Rate,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C162,Fast Response Time,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C163,Fault Tolerance,3,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C164,File Verification,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C165,Firewall Rules,3,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C166,Fleet Operators,1,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C167,Flexible Edge Computing Services,6,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C168,Fog Computing,3,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C169,Fog Instance Connection,2,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C170,Format Property Configuration,1,Infrastructure and Device Management,T07,Infrastructure Automation & Configuration Management
C171,Frontend Interaction,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C172,Function Call,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C173,Function Synchronization,1,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C174,Functions List,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C175,Future Enhancements,2,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C176,Gateway Management,1,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C177,GitOps Management,1,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C178,GPU Resource Management,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C179,GraphQL API,1,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C180,Growing Client Needs,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C181,Hardware and Software Development,2,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C182,Hardware Compatibility,9,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C183,Hardware Specifications,17,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C184,Hardware-Agnostic Specification,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C185,Health Monitoring Feature,2,Observability and Persistent Data Management,T08,"Observability, Monitoring & Diagnostics"
C186,Hierarchical Configuration,1,Infrastructure and Device Management,T07,Infrastructure Automation & Configuration Management
C187,High Concurrency,2,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C188,High-Performance Messaging,5,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C189,HTTP POST Request,1,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C190,Hybrid Edge Device,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C192,Identity Translation,1,"Security, Authentication, and Usage Policies",T18,"Trusted Connectors, Data Sovereignty & Usage Policies"
C193,Identity Translation Module,2,"Security, Authentication, and Usage Policies",T18,"Trusted Connectors, Data Sovereignty & Usage Policies"
C194,Identity Translation Pattern,1,"Security, Authentication, and Usage Policies",T18,"Trusted Connectors, Data Sovereignty & Usage Policies"
C195,Illusion of Continuity,1,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C196,Image Address,1,Infrastructure and Device Management,T07,Infrastructure Automation & Configuration Management
C197,Image Size Configuration,1,Infrastructure and Device Management,T07,Infrastructure Automation & Configuration Management
C198,Information Transfer,2,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C199,Infrastructure Accommodation,1,Infrastructure and Device Management,T07,Infrastructure Automation & Configuration Management
C200,Infrastructure Optimization,1,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C201,Infrastructure Services,2,Infrastructure and Device Management,T07,Infrastructure Automation & Configuration Management
C202,Input and Output,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C203,Integration of Components,2,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C204,Integration of DPU IP,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C205,Inter-Module Communication,13,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C206,Interface Definition,1,Composable Architectures and Flow Orchestration,T04,Modular Edge Architecture & Service Orchestration
C207,Interoperability of Different Services,9,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C208,IoT Integration,4,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C209,IoT Service Providers,1,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C210,JWT-based Authorization,1,"Security, Authentication, and Usage Policies",T02,"Security, Privacy & Trust Management"
C211,Keep-Alive Packets,2,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
C212,Kubernetes Cluster Management,7,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C213,Kubernetes Native Platform,1,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C214,Kubernetes Tools,2,Infrastructure and Device Management,T15,"DevOps, CI/CD & Build Environments for Edge"
C215,Labeling Issues,2,Optimized AI Execution and Computational Efficiency,T10,Resource Efficiency & Performance Optimisation
C216,Language Supports,1,Optimized AI Execution and Computational Efficiency,T14,Edge Development Frameworks & Programmability
C217,LeafEvent,2,Composable Architectures and Flow Orchestration,T11,Stream Processing & Event‑Driven Architectures (Edge)
C218,Lifecycle Management,3,Infrastructure and Device Management,T03,Device Lifecycle Management (Provisoning → Deployment → Operation)
C219,Lightweight Messaging System,3,"Communication Protocols, Infrastructures and Continuum",T05,Edge‑Cloud Continuum Integration & Messaging Middleware
C220,Lightweight Runtime,10,Optimized AI Execution and Computational Efficiency,T09,Optimised AI/ML Execution at the Edge
C221,Linux Workload,1,Integration of Sensors and Applications,T13,Sensor Abstraction & Hardware Interface Integration
C222,Listening Address,3,"Communication Protocols, Infrastructures and Continuum",T01,Edge Connectivity & Communication Protocols
